gameid,split,playoffs,date,game,playerid,side,position,player,team,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
6909-9183-1-1,Spring,0,2021-01-09 09:22:04,1,100,Blue,team,,Top Esports,,2050,0,3,9,6,3,9,0.0,0.0,,,1.0,,,,0.0878,0.3512,1.0,2.0,2.0,1.0,,,0.0,0.0,1.0,1.0,3.0,6.0,1.0,1.0,,,0.0,1.0,63315.0,1853.122,2559.0146,1990.8585,101.0,2.9561,83.0,2.4293,40.0,54617,32329.0,946.2146,53550.0,1230.0,987.0,243.0,162.0,13.0,36.0,16177.0,19640.0,380.0,15445.0,19565.0,360.0,732.0,75.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,24815.0,31121.0,608.0,23864.0,31228.0,590.0,951.0,-107.0,18.0,1.0,1.0,0.0,0.0,0.0,1.0
6909-9183-1-1,Spring,0,2021-01-09 09:22:04,1,200,Red,team,,Suning,,2050,1,9,3,28,9,3,1.0,0.0,,,0.0,,,,0.2634,0.3512,0.0,2.0,2.0,0.0,,,1.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,,,1.0,0.0,58406.0,1709.4439,2940.439,2526.6146,161.0,4.7122,61.0,1.7854,46.0,60520,38232.0,1118.9854,53575.0,1215.0,947.0,268.0,199.0,12.0,35.561,15445.0,19565.0,360.0,16177.0,19640.0,380.0,-732.0,-75.0,-20.0,0.0,0.0,1.0,1.0,1.0,0.0,23864.0,31228.0,590.0,24815.0,31121.0,608.0,-951.0,107.0,-18.0,0.0,0.0,1.0,1.0,1.0,0.0
6909-9184-2-2,Spring,0,2021-01-09 10:16:20,2,100,Blue,team,,Top Esports,,2241,0,16,27,27,16,27,2.0,0.0,,,0.0,,,,0.4284,1.1513,0.0,3.0,2.0,1.0,,,1.0,2.0,0.0,1.0,6.0,7.0,1.0,1.0,,,0.0,2.0,84516.0,2262.8112,3790.415,3101.66,121.0,3.2396,73.0,1.9545,42.0,69692,45456.0,1217.0281,65536.0,1243.0,957.0,286.0,181.0,15.0,33.2798,16752.0,20020.0,361.0,15250.0,18856.0,321.0,1502.0,1164.0,40.0,2.0,2.0,1.0,1.0,1.0,2.0,27355.0,32158.0,560.0,25210.0,32578.0,516.0,2145.0,-420.0,44.0,5.0,6.0,6.0,6.0,9.0,5.0
6909-9184-2-2,Spring,0,2021-01-09 10:16:20,2,200,Red,team,,Suning,,2241,1,27,17,59,27,17,6.0,1.0,,,1.0,,,,0.7229,1.1513,1.0,2.0,3.0,0.0,,,0.0,0.0,2.0,0.0,7.0,6.0,0.0,0.0,,,2.0,0.0,97504.0,2610.5489,3192.6372,2521.8206,155.0,4.1499,55.0,1.4726,49.0,70269,46033.0,1232.4766,66558.0,1191.0,939.0,252.0,195.0,10.0,31.8876,15250.0,18856.0,321.0,16752.0,20020.0,361.0,-1502.0,-1164.0,-40.0,1.0,1.0,2.0,2.0,2.0,1.0,25210.0,32578.0,516.0,27355.0,32158.0,560.0,-2145.0,420.0,-44.0,6.0,9.0,5.0,5.0,6.0,6.0
6910-9189-1-1,Spring,0,2021-01-09 11:30:25,1,100,Blue,team,,Oh My God,,1887,0,4,15,9,4,15,0.0,0.0,,,1.0,,,,0.1272,0.6041,1.0,1.0,4.0,1.0,,,0.0,0.0,1.0,0.0,3.0,9.0,0.0,0.0,,,0.0,1.0,37351.0,1187.6312,2777.9332,1912.7822,104.0,3.3068,47.0,1.4944,32.0,51145,30520.0,970.4293,49750.0,1066.0,848.0,218.0,163.0,7.0,33.8951,15842.0,18405.0,322.0,15812.0,18712.0,333.0,30.0,-307.0,-11.0,2.0,3.0,2.0,2.0,4.0,2.0,24131.0,29284.0,527.0,24588.0,30502.0,543.0,-457.0,-1218.0,-16.0,2.0,3.0,3.0,3.0,5.0,2.0
6910-9189-1-1,Spring,0,2021-01-09 11:30:25,1,200,Red,team,,EDward Gaming,,1887,1,15,4,35,15,4,2.0,0.0,,,0.0,,,,0.4769,0.6041,0.0,4.0,1.0,0.0,,,1.0,1.0,0.0,1.0,9.0,3.0,1.0,1.0,,,1.0,0.0,54707.0,1739.4913,2028.2353,2012.814,93.0,2.9571,58.0,1.8442,34.0,60738,40113.0,1275.4531,51190.0,1146.0,910.0,236.0,156.0,14.0,36.4388,15812.0,18712.0,333.0,15842.0,18405.0,322.0,-30.0,307.0,11.0,2.0,4.0,2.0,2.0,3.0,2.0,24588.0,30502.0,543.0,24131.0,29284.0,527.0,457.0,1218.0,16.0,3.0,5.0,2.0,2.0,3.0,3.0
6910-9190-2-2,Spring,0,2021-01-09 12:23:44,2,100,Blue,team,,EDward Gaming,,2010,0,8,18,18,8,18,0.0,0.0,,,0.0,,,,0.2388,0.7761,0.0,1.0,4.0,0.0,,,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,,,0.0,3.0,68437.0,2042.8955,3197.7313,2971.6119,87.0,2.597,53.0,1.5821,39.0,54258,32378.0,966.5075,51335.0,1108.0,891.0,217.0,170.0,0.0,33.0746,15086.0,17844.0,323.0,16389.0,19227.0,335.0,-1303.0,-1383.0,-12.0,1.0,2.0,3.0,3.0,7.0,1.0,23389.0,29977.0,535.0,26454.0,31438.0,552.0,-3065.0,-1461.0,-17.0,2.0,2.0,5.0,5.0,11.0,2.0
6910-9190-2-2,Spring,0,2021-01-09 12:23:44,2,200,Red,team,,Oh My God,,2010,1,18,8,49,18,8,1.0,0.0,,,1.0,,,,0.5373,0.7761,1.0,4.0,1.0,1.0,,,1.0,1.0,0.0,1.0,11.0,2.0,1.0,1.0,,,3.0,0.0,67004.0,2000.1194,3283.9701,3248.0896,105.0,3.1343,42.0,1.2537,33.0,64618,42738.0,1275.7612,55450.0,1147.0,915.0,232.0,154.0,16.0,34.2388,16389.0,19227.0,335.0,15086.0,17844.0,323.0,1303.0,1383.0,12.0,3.0,7.0,1.0,1.0,2.0,3.0,26454.0,31438.0,552.0,23389.0,29977.0,535.0,3065.0,1461.0,17.0,5.0,11.0,2.0,2.0,2.0,5.0
6910-9191-3-3,Spring,0,2021-01-09 13:19:06,3,100,Blue,team,,Oh My God,,2159,0,8,16,19,8,16,1.0,0.0,,,1.0,,,,0.2223,0.667,1.0,3.0,3.0,1.0,,,0.0,0.0,1.0,0.0,3.0,9.0,1.0,1.0,,,0.0,2.0,61473.0,1708.3742,2297.1746,2064.289,111.0,3.0848,44.0,1.2228,45.0,57889,34489.0,958.4715,55160.0,1153.0,892.0,261.0,180.0,17.0,32.0426,16214.0,19177.0,346.0,15891.0,18999.0,348.0,323.0,178.0,-2.0,2.0,3.0,1.0,1.0,1.0,2.0,25531.0,30812.0,536.0,25255.0,30977.0,562.0,276.0,-165.0,-26.0,4.0,7.0,3.0,3.0,3.0,4.0
6910-9191-3-3,Spring,0,2021-01-09 13:19:06,3,200,Red,team,,EDward Gaming,,2159,1,16,8,37,16,8,1.0,0.0,,,0.0,,,,0.4447,0.667,0.0,3.0,3.0,0.0,,,1.0,1.0,0.0,1.0,9.0,3.0,0.0,0.0,,,2.0,0.0,59864.0,1663.6591,2844.3168,1878.1751,105.0,2.918,64.0,1.7786,42.0,67747,44347.0,1232.4317,59840.0,1241.0,985.0,256.0,182.0,10.0,34.4882,15891.0,18999.0,348.0,16214.0,19177.0,346.0,-323.0,-178.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,25255.0,30977.0,562.0,25531.0,30812.0,536.0,-276.0,165.0,26.0,3.0,3.0,4.0,4.0,7.0,3.0
6911-9185-1-1,Spring,0,2021-01-10 09:15:46,1,100,Blue,team,,Team WE,,1850,1,15,7,38,15,7,1.0,1.0,,,0.0,,,,0.4865,0.7135,1.0,3.0,1.0,0.0,,,1.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,,,1.0,0.0,58477.0,1896.5514,2981.1892,2542.7676,99.0,3.2108,39.0,1.2649,44.0,56938,36690.0,1189.9459,47500.0,1024.0,777.0,247.0,147.0,26.0,33.2108,14907.0,18445.0,349.0,15001.0,17962.0,315.0,-94.0,483.0,34.0,0.0,0.0,1.0,1.0,4.0,0.0,23473.0,28050.0,500.0,23211.0,27605.0,477.0,262.0,445.0,23.0,4.0,11.0,4.0,4.0,15.0,4.0
6911-9185-1-1,Spring,0,2021-01-10 09:15:46,1,200,Red,team,,Rogue Warriors,,1850,0,7,15,24,7,15,0.0,0.0,,,1.0,,,,0.227,0.7135,0.0,1.0,3.0,1.0,,,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,,,0.0,1.0,57179.0,1854.4541,2616.5838,1942.8324,94.0,3.0486,49.0,1.5892,40.0,45470,25222.0,818.0108,43830.0,891.0,725.0,166.0,131.0,4.0,28.8973,15001.0,17962.0,315.0,14907.0,18445.0,349.0,94.0,-483.0,-34.0,1.0,4.0,0.0,0.0,0.0,1.0,23211.0,27605.0,477.0,23473.0,28050.0,500.0,-262.0,-445.0,-23.0,4.0,15.0,4.0,4.0,11.0,4.0
6911-9186-2-2,Spring,0,2021-01-10 10:07:07,2,100,Blue,team,,Rogue Warriors,,1841,0,12,18,27,12,18,1.0,0.0,,,1.0,,,,0.3911,0.9451,0.0,2.0,2.0,1.0,,,0.0,0.0,2.0,1.0,2.0,9.0,1.0,0.0,,,0.0,1.0,47800.0,1557.849,2326.0185,1721.0646,105.0,3.4221,46.0,1.4992,46.0,51080,30924.0,1007.8436,49585.0,934.0,738.0,196.0,141.0,0.0,30.44,15936.0,16251.0,260.0,15162.0,17695.0,313.0,774.0,-1444.0,-53.0,5.0,10.0,2.0,2.0,5.0,5.0,26010.0,27822.0,458.0,25147.0,28957.0,523.0,863.0,-1135.0,-65.0,7.0,17.0,3.0,3.0,7.0,7.0
6911-9186-2-2,Spring,0,2021-01-10 10:07:07,2,200,Red,team,,Team WE,,1841,1,17,12,34,17,12,4.0,1.0,,,0.0,,,,0.554,0.9451,1.0,2.0,2.0,0.0,,,1.0,2.0,0.0,0.0,9.0,2.0,0.0,1.0,,,1.0,0.0,53244.0,1735.2743,2595.8718,1938.5117,107.0,3.4872,59.0,1.9229,45.0,62850,42694.0,1391.4394,55638.0,1085.0,829.0,256.0,174.0,25.0,35.3612,15162.0,17695.0,313.0,15936.0,16251.0,260.0,-774.0,1444.0,53.0,2.0,5.0,5.0,5.0,10.0,2.0,25147.0,28957.0,523.0,26010.0,27822.0,458.0,-863.0,1135.0,65.0,3.0,7.0,7.0,7.0,17.0,3.0
6912-9187-1-1,Spring,0,2021-01-10 11:09:39,1,100,Blue,team,,Invictus Gaming,,1720,1,16,5,34,16,5,1.0,0.0,,,1.0,,,,0.5581,0.6977,0.0,3.0,1.0,1.0,,,1.0,1.0,0.0,1.0,8.0,1.0,1.0,1.0,,,1.0,0.0,64370.0,2245.4651,2588.9651,2036.3372,108.0,3.7674,68.0,2.3721,44.0,55114,36192.0,1262.5116,48625.0,1009.0,761.0,248.0,151.0,26.0,35.1977,17259.0,18577.0,315.0,15511.0,18095.0,325.0,1748.0,482.0,-10.0,6.0,10.0,2.0,2.0,3.0,6.0,26180.0,29992.0,526.0,23989.0,29979.0,534.0,2191.0,13.0,-8.0,7.0,12.0,3.0,3.0,4.0,7.0
6912-9187-1-1,Spring,0,2021-01-10 11:09:39,1,200,Red,team,,JD Gaming,,1720,0,4,16,7,4,16,0.0,0.0,,,0.0,,,,0.1395,0.6977,1.0,1.0,3.0,0.0,,,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,,,0.0,1.0,33376.0,1164.2791,2626.6744,2311.3953,112.0,3.907,35.0,1.2209,39.0,42852,23930.0,834.7674,40250.0,918.0,745.0,173.0,134.0,10.0,32.0233,15511.0,18095.0,325.0,17259.0,18577.0,315.0,-1748.0,-482.0,10.0,2.0,3.0,6.0,6.0,10.0,2.0,23989.0,29979.0,534.0,26180.0,29992.0,526.0,-2191.0,-13.0,8.0,3.0,4.0,7.0,7.0,12.0,3.0
